бязь,"агъ (ди, ар)"
поиздеваться,"келхъенас (келхъенди, келхъуьна, келхъен, келхъуьб, кемелхъена)"
порезаться,кетIас
просыпаться,кетIас
повесить,кехъас
посыпать (ся),кехъас
приклеиться,кикъвас
прилипнуть,кикъвас
придираться,"кикIас (кикIай, кикIуна, кикI, кикIуб, кимикIа)"
попадать (чем-л),"киркьвас (киркьвай, киркьуна, киркьв, киркьуб, кимиркьва)"
попасть (чем-л),"киркьвас (киркьвай, киркьуна, киркьв, киркьуб, кимиркьва)"
погулять,"кируцас (кируцай, кируцуна, кируц, кируцуб, кимарца)"
прогулка,"кируцуб (а, ар)"
подвернуть,"кичадаркас (кичадаркай, кичадаркуна, кичадарк, кичадаркуб, кичмадарка)"
подворачивать,"кичадаркас (кичадаркай, кичадаркуна, кичадарк, кичадаркуб, кичмадарка)"
подвернутый,кичадаркуф
попадать (кому-л куда-л),"кичархьас (кичархьай, кичархьуна, -, кичархьуб, -)"
попасть (кому-л куда-л),"кичархьас (кичархьай, кичархьуна, -, кичархьуб, -)"
подкладывать,"кичикIас (кичикIай, кичикIуна, кичикI, кичикIиб, кичимикIа)"
подложить,"кичикIас (кичикIай, кичикIуна, кичикI, кичикIиб, кичимикIа)"
пожелать,"кканхьас (кканди, - кканхьуна, - кканухь, - кканхьеб, - кканмева)"
полюбить,"кканхьас (кканди, - кканхьуна, - кканухь, - кканхьеб, - кканмева)"
поделить,кквал акьас
петух,"ккекк (ела, ер)"
петушиный,ккеккеланф
пройти (из-под чего-л),"ккеттвес (ккеттвей, ккеттушуна, ккеттъях, ккеттушуб, ккеттмева)"
проходить (из-под чего-л),"ккеттвес (ккеттвей, ккеттушуна, ккеттъях, ккеттушуб, ккеттмева)"
пригнать (из-под чего-л),ккеттгъас
пригонять (из-под чего-л),ккеттгъас
пучок,ккунчI
помощь,"кумак (и, ар)"
помощник,"кумакчи (-, бур)"
палец ноги,кумул
пельмень,курц
прутик,"кутIул (и, ар)"
посудина,"къаб (у, ар)"
посуда,къабар
попрек,"къавахIан (ди, ар)"
прозвище,"къавахIан (ди, ар)"
попрекать,къавахIан акьас
попрекнуть,къавахIан акьас
порядок,"къайда (йи, бур)"
правило,"къайда (йи, бур)"
поклажа,къакъ
плотный,къалинф
перхоть,къарс
припасы,къарфунар
продукты,къарфунар
плеть,"къемчи (-, бур)"
пассатижы,къецI
пух,къугъ
подпись,къул
подписаться,къул дивас
подписываться,къул дивас
помолиться,къулгун акьас
песок,къум
подруга,"къучма (йи, бур)"
прикорневая часть (чего-л),"кьаб (у, ар)"
позади,кьабахъ
позади,кьабахъай
потомок,кьабахъай вереф
принимать,кьабул акьас
принять,кьабул акьас
принятие,кьабул акьуб
полынь,кьалар
полынь,кьалар
подделка,кьалп
поддельный,кьалп
поздно,кьана
позже,кьанайи
поздно,кьанди
постановление,кьарар
полка,"кьас (а, ар)"
преднамеренно,кьасустти
плата,кьимат
парша,кьуркI
паршивец,кьуркIач
паршивый,кьуркIач
пирог,"кьутIур (и, ар)"
половник,кьуш
придурковатый,кIамай
палка,"кIаш (ала, ар)"
подсказать,кIвал акьас
подсказывать,кIвал акьас
подсказка,кIвал акьуб
платок (женский),кIеб
письмо,"кIедж (и, ар)"
под,кIенакк
початок,кIетI
погибший,кIеф
покойный,кIеф
проведать,кIил дивас
пик,кIукI
почка (анат.),кIуртIум
пуговица,"кIучI (ала, ар)"
платок (маленький на голову),лачак
подошва,лекун кIен
печенка,лекI
печень,лекI
подкова,леIен
писать,"ликIенас (лиркIенди, ликIина, ликIен, ликIиб, малиркIена)"
предписать,"ликIенас (лиркIенди, ликIина, ликIен, ликIиб, малиркIена)"
предписание,ликIинаттар
писарь,лиркIенф
писец,лиркIенф
поработать,"лиханас (лиханди, лихуна, лихан, лихуб, малихана)"
пляска,"лихъванас (лихъванди, лихъуна, лихъван, лихъуб, малирхъвана)"
потанцевать,"лихъванас (лихъванди, лихъуна, лихъван, лихъуб, малирхъвана)"
пляска,"лихъун (и, ар)"
предлагать,ма пас
предложить,ма пас
предложение,"ма пеб (а, ар)"
предоженный,ма пеф
почка (анат.),мавун чарккв
площадь,"майдан (ди, ар)"
промежуток,манзил
предавать,масса ес
предать,масса ес
продавать,масса ес
продать,масса ес
проданный,масса еф
продавец,масса ирцIанф
простакваша,мастт
поцелуй,мач
прическа,мег
прядь,мег
песня,"мегIни (-, бур)"
петь,мегIни акьас
простыть,мекI хьас
простудиться,мекI хьас
простужаться,мекI хьас
почистить,мертт акьас
пригоршня,мехь
перила,мехIеджар
пока,мехIелди
пока что,мехIелди
прочный,мехIкемф
пленица,мидахай
помощь (коллективная),мил
просьба,миннат
поговорка,мисала
пословица,мисала
притча,мисала
поздравлять,мубарак акьас
поздравление,мубарак акьуб
печать (на бумагу),мугьур
побриться,муджур ккекьас
поганец,мурдал
подлец,мурдал
поганный,мурдалф
подлый,мурдалф
плесень,мурс
подпора,"мурхьил (и, ар)"
подпорка,"мурхьил (и, ар)"
перо,мурцI
парное (молоко),мурцIеф
подчиненный,мутIеI
покорный,мутIеI
поднчинять,мутIеI акьас
подчинить,мутIеI акьас
повиноваться,мутIеI хьас
подчиниться,мутIеI хьас
подчиняться,мутIеI хьас
повиновение,мутIеIвел
подчинение,мутIеIвел
покорность,мутIеIвел
послушание,мутIеIвел
польза,муфеIет
передник,"мухуригьан (ди, ар)"
потемки,"мучI (ина, ар)"
подбородок,мучIур
повсюду,нанди хьучира
почва,"некьв (ди, -)"
плита (надмогильная),некьвдин кьул
полова,нехъвар
приличный,неч ламус кеяф
пахнуть,ниъ хъахьас
поеделить,пай акьас
пророк,"пайгъамбар (ди, ар)"
пророческий,пайгъамбардинф
падишах,"паччагь (ди, ар)"
проффесия,"пиша (йи, бур)"
пушинка,пурцI
печально,пушмалди
печальный,пушмалф
подсолнух,рагъун тук
попрашайничать,раккас
попрашайка,раккаттай
попрошайка,раккаттай
путь,"рекъ (уь, ер)"
перекрывать дорогу,рекъ итIанас
перекрыть дорогу,рекъ итIанас
проводить,рекъуьл акьас
провожать,рекъуьл акьас
пропитание,ризкь
покрасить,"рихьес (рихьей, рихьина, рихь, рихьиб, марихьа)"
пыль,"руг (у, ар)"
помол,ругIуб
порезать (скот),"руккас (руккай, руккуна, рукк, руккуб, марукка)"
проклятие,"рукъал (и, ар)"
проклинать,рукъалар акьас
проклинать,рукъалар ахъатас
прокисшее молоко,рутту некк
пьянеть,"руфас (руфай, руфуна, руф, руфуб, маруфа)"
пьяный,руфуф
плести,"рухас (рухай, рухуна, рух, рухуб, маруха)"
поиск,руцуб
пепел,руькъ
прах,руькъ
прощай!,сагъди илгурай!
по порядку,садпеттилас мич
прохлада,саринвел
прохладный,саринф
путешествие,сафар
путь,сафар
проволока,син
подобно,суман
подобие,суманвел
подобный,суманф
похожий,суманф
половина,"сур (и, ар)"
полночь,"сурIуьш (а, ар)"
подорожник,табалус
пара (кого-чего-л),тай
полоса,тал
перевод,тарджума
"перевести (язык, текст...)",тарджума акьас
"переводить (язык, текст...)",тарджума акьас
проступок,тахсир
попросить,"тин пас (- агъй, - пуна, - уп, - пеб, - магъа)"
просить,"тин пас (- агъй, - пуна, - уп, - пеб, - магъа)"
помолвиться,ттур йирхIас
пистолет,тупанчи
пушка,тупп
племя,"тухум (ди, ар)"
племенной,тухумдинф
плевать (ся),туьтуь алчихьас
плюнуть,туьтуь алчихьас
поднос,тIабакI
природа,"тIабиIет (и, -)"
природный,тIабиIетинф
павлин,тIавус
подоконник,тIагарин кIен
пухнуть,"тIагIас (тIаргIай, тIагIун, тIагI, тIагIуб, матIаргIа)"
пачкаться,тIакьван хьас
просьба,"тIалаб (и, ар)"
потребовать,тIалаб акьас
пятно,тIамтIам
палец,"тIуб (тIубу, тIуппар)"
перстень,"тIубул (а, ар)"
поступок,"тIул (а, ар)"
привычка,"тIул (а, ар)"
прут,"тIул (а, ар)"
почка (биол.),тIур
прищ,тIур
подавить,"тIучIанас (тIурчIанди, тIучIуна, тIучIан, тIучIуб, матIурчIана)"
пожать,"тIучIанас (тIурчIанди, тIучIуна, тIучIан, тIучIуб, матIурчIана)"
помять,"тIучIанас (тIурчIанди, тIучIуна, тIучIан, тIучIуб, матIурчIана)"
печь,уджас
пожарить,уджас
печенный,уджуф
пожаренный,уджуф
перед,удигь
передний,удигь гьаеф
позавчера,удигь ягъа
прежде,удигьди
прежний,удигьдинф
прошлый,удигьдинф
посеять,узас
пастбище,укун
пещера,улуд
призывать,"унахъас (унархъай, унахъуна, унахъ, унахъуб, унмархъа)"
позвоночник,утунин дар
полба,утIу нирхI
пить,ухас
питье,ухуб
прекрасный,ухьтанф
поступать (куда-л),"учIас (учIай, учIуна, учI, учIуб, амучIа)"
поступить (куда-л),"учIас (учIай, учIуна, учI, учIуб, амучIа)"
поступление (куда-л),"учIуб (а, ар)"
поступивший (куда-л),учIуф
плавить (ся),уьцIас
приносить,файдес
почему,фас
потому что,фас пичин
поймать,"фацанас (фарцанди, фацуна, фацен, фацуб, фамарцана)"
пленик,фацуф
пленный,фацуф
пойманный,фацуф
прижаться,"фачучIас (фачучIай, фачучIуна, фачучI, фачучIуб, фачумучIа)"
прижиматься,"фачучIас (фачучIай, фачучIуна, фачучI, фачучIуб, фачумучIа)"
приступать,"фачучIас (фачучIай, фачучIуна, фачучI, фачучIуб, фачумучIа)"
приступить,"фачучIас (фачучIай, фачучIуна, фачучI, фачучIуб, фачумучIа)"
принеси,фаша
подумать,фикир акьас
пуп,фунин хутI
пуповина,фунин хутI
пупок,фунин хутI
повторить,хаб акьас
повторять,хаб акьас
повтор,хаб акьуб
повторный,хаб акьуф
после,хабди
польза,хайир
прок,хайир
почерк,хатI
паук,хинзизай
поле,"ху (хуйи, хуппар)"
послед,хумбехал
после,хуппай
потом,хуппай
поле (под засев),"хуппур (и, ар)"
прочитать,"хурас (хурай, хуруна, хур, хуруб, махура)"
прочитанный,хуруф
племяник,хуттул
племяница,хуттул
правнук,хуттул
правнучка,хуттул
проливаться,хъайчас
пролиться,хъайчас
пригласить (в гости),"хъаттгъас (хъаттгъай, хъаттфайшуная, хъаттфаях, хъаттфайшуб, -)"
приглашать (в гости к себе),"хъаттгъас (хъаттгъай, хъаттфайшуная, хъаттфаях, хъаттфайшуб, -)"
послезавтра,хъаягъа
полка,хъинитI
постучать,"хъирхIас (хъирхIай, хъирхIуна, хъирхI, хъирхIуб, хъимирхIа)"
привязать,"хъитIанас (хъиртIанди, хъитIуна, хъитIен, хъитIуб, хъимартIа)"
привязывать,"хъитIанас (хъиртIанди, хъитIуна, хъитIен, хъитIуб, хъимартIа)"
придумать,"хъитIанас (хъиртIанди, хъитIуна, хъитIен, хъитIуб, хъимартIа)"
придумывать,"хъитIанас (хъиртIанди, хъитIуна, хъитIен, хъитIуб, хъимартIа)"
поверить,"хъугъас (хъугъай, хъугъуна, хъугъ, хъугъуб, хъумугъа)"
"подойти (к лицу, по размеру...)",хъудуьхьес
"подходить (к лицу, по размеру...)",хъудуьхьес
"подходящий (к лицу, по размеру...)",хъудуьхьуьф
пустырь,хъурч
посмотреть,"хъуттурфанас (хъуттурфанди, хъуттурфуна, хъуттурфен, хъуттурфуб, хъуттумурфана)"
подойти,хъучавес
подходить,хъучавес
приближаться,хъучавес
приблизиться,хъучавес
подтягивать,"хъучадивас (хъучадивай, хъучадивуна, хъучадив, хъучадивуб, хъучмадива)"
подтянуть,"хъучадивас (хъучадивай, хъучадивуна, хъучадив, хъучадивуб, хъучмадива)"
приступать,"хъучучIас (хъучучIай, хъучучIуна, хъучучI, хъучучIуб, хъучумучIа)"
приступивший,хъучучIуф
печка,"хьар (а, ар)"
печь,"хьар (а, ар)"
пешком,хьилаба
пешеход,хьилаба вереф
пешеход,хьилабанф
пеший,хьилабанф
перчатка,хьухьал
правление,хIавел акьуб
правитель,хIавел аркьаф
положение,хIал
праздник,"хIаягъ (а, ар)"
праздничный,хIаягъанф
правда,"хIекь (ди, -)"
посчитать,хIисаб акьас
поклясться,хIу акьас
пастух,"хIуппахъан (ди, ар)"
пастуший,хIуппахъандинф
правительство,"хIуькумат (хIуькуматти, хIуькуматар)"
почет,хIуьлмат
почтение,хIуьлмат
правый,хIуьрджалф
пиявка,хIуьтIри
прошлогодний,цацанф
прозрачный,цIадеф
пятнадцать,цIегIифуд
пятнадцатый,цIегIифудпеф
пламя,цIин мез
постный,цIугъреф
прочный,цIуьппеф
прочно,цIуьппи
паутина,чал
пеленка,чапп
птенец,чарккв
подвинуь (ся),чукIас
просто так,чIана
пядь,чIиб
полоска пашни,"чIил (и, ар)"
пояс (предмет),"чIил (и, ар)"
портить,чIир акьас
портиться,чIирхьас
проходи,шаб
приглашать,"шаб пас (- агъай, - пуна, - уп, - пеб, - магъа)"
приглашение,шаб пеб
подозрение,шак
подозревать,шак вес
плавный,шергвеф
поводья,шилIан
пребывать,"экьвас (эркьвай, экьуна, экьве, экьуб, амеркьва)"
посаженный,экьвас акьуф
пшеница,экI
постоянно,ягъди
платок,ягълукъ
познавать,ягIар акьас
познакомить,ягIар акьас
познать,ягIар акьас
познакомиться,ягIархьас
падаль,"яхв (яху, яхвар)"
пояс (анат.),"яIар (и, ар)"
поясница,"яIар (и, ар)"
плавун,яIар архъаф
плавать,яIар ахъас
плавание,яIар ахъуб
плохой,Iаеф
плохо,Iайи
позор,Iайиб
пустой,Iареф
пусто,Iари
пробор,"IатIуб (а, ар)"
плохой,Iаф
промокать,"Iашас (Iаршай, Iашуна, Iаш, Iашуб, маIарша)"
промокнуть,"Iашас (Iаршай, Iашуна, Iаш, Iашуб, маIарша)"
пятка,"Iашв (Iашу, Iашвар)"
промокший,Iашуф
пожалеть,Iегвал хьас
помиловать,Iегвал хьас
посветить,Iекв акьас
пища,Iелеф
профессор,"Iелим (ди, ар)"
пот,IемкI
потеть,"IемкI ичас (- ичай, - ичуна, - ич, - ичуб, - имича)"
пропотевший,IемкI ичуф
плач,"Iешал (и, ар)"
плакать,"Iешас (Iешай, Iешуна, Iеш, Iешуб, меIеша)"
плакса,IешрикI
пруд,Iуьр
подушка,"Iуьрдеккен (ди, ар)"
пестрый,IуьрчIеф
питаться,"IуьтIанас (Iелди, IуьтIуна, IуьтIан, IуьтIуб, меIела)"
поесть,"IуьтIанас (Iелди, IуьтIуна, IуьтIан, IуьтIуб, меIела)"
покушать,"IуьтIанас (Iелди, IуьтIуна, IуьтIан, IуьтIуб, меIела)"
питание,IуьтIуб ухуб
переночевать,Iуьш акьас
разгадать,"агъатIас (агъартIай, агъатIуна, агъатI, агъатIуб, агъамартIа)"
разгадывать,"агъатIас (агъартIай, агъатIуна, агъатI, агъатIуб, агъамартIа)"
раздевать (ся),"алдахъас (алдархъай, алдахъуна, алдахъ, алдахъуб, алдамархъа)"
раздеть (ся),"алдахъас (алдархъай, алдахъуна, алдахъ, алдахъуб, алдамархъа)"
ругаться,"алухIанас (алурхIанди, алухIуна, алухIен, алухIуб, алумархIа)"
ругательство,"алухIуб (а, ар)"
разбивать (ся),аргIас
разбить (ся),аргIас
разваливать (ся),"арчIвас (арчIвай, арчIуна, арчIв, арчIуб, амарчIва)"
развалить (ся),"арчIвас (арчIвай, арчIуна, арчIв, арчIуб, амарчIва)"
разламать (ся),"арчIвас (арчIвай, арчIуна, арчIв, арчIуб, амарчIва)"
разламывать (ся),"арчIвас (арчIвай, арчIуна, арчIв, арчIуб, амарчIва)"
разрушать (ся),"арчIвас (арчIвай, арчIуна, арчIв, арчIуб, амарчIва)"
разрушить (ся),"арчIвас (арчIвай, арчIуна, арчIв, арчIуб, амарчIва)"
резать (ся),"атIас (артIай, атIуна, атI, атIуб, амартIа)"
рубить,"атIас (артIай, атIуна, атI, атIуб, амартIа)"
разрешение,"ахттигьар (ди, ар)"
распоряжение,"ахттигьар (ди, ар)"
разрешать,"ахттигьар ес (- ирцIанди, - йина, - тин, - еб, - майирцIана)"
разрешить,"ахттигьар ес (- ирцIанди, - йина, - тин, - еб, - майирцIана)"
разрешение,аххтигьар
рассказать,"ахъакьас (ахъаркьай, ахъакьуна, ахъакь, ахъакьуб, ахъамаркьа)"
рассказать,"ахъакьас (ахъаркьай, ахъакьуна, ахъакь, ахъакьуб, ахъамаркьа)"
расходовать,"ачатас (ачартай, ачатуна, ачат, ачатуб, ачмарта)"
родство,багувел
рядом,багулив
родственники,багунттар
родственник,багунф
родственный,багунф
ради,бадала
ради,бадалди
руины,барбатI
рубаха,"берхIем (и, ар)"
рубашка,"берхIем (и, ар)"
родник,"булах (и, ар)"
расстояние,вархавел
родина,"ватан (ди, -)"
рев,"вев (у, ер)"
равнина,"гал (у, ар)"
раз,гелай
разъяснить,гъавурди ихьас
разъяснять,гъавурди ихьас
разъяснение,гъавурди ихьуб
рябина,гъибгъер
рука,"гъил (и, ар)"
рукав,"гъилив (и, ар)"
ручная мельница,гъилин рагI
ручной,гъилинф
разговаривать,"гъургъас (гъургъай, гъургъуна, гъургъ, гъургъуб, магъургъа)"
разговор,"гъургъуб (а, ар)"
различный,гьер джуьреф
разнообразный,гьер джуьреф
разболованный,гIентIеф
родители,дадна баб
разойтись,"далгъванас (далгъванди, далгъуна, далгъван, далгъуб, мадалгъвана)"
рассеиваться,"далгъванас (далгъванди, далгъуна, далгъван, далгъуб, мадалгъвана)"
рассыпаться,"далгъванас (далгъванди, далгъуна, далгъван, далгъуб, мадалгъвана)"
расходиться,"далгъванас (далгъванди, далгъуна, далгъван, далгъуб, мадалгъвана)"
рессеиться,"далгъванас (далгъванди, далгъуна, далгъван, далгъуб, мадалгъвана)"
рассеивать,далгъванас акьас
рессеить,далгъванас акьас
религия,"дан (ди, ар)"
рано,дахи
раскрывать (ся),"дахъас (дархъай, дахъуна, дахъ, дахъуб, мадархъа)"
раскрыть (ся),"дахъас (дархъай, дахъуна, дахъ, дахъуб, мадархъа)"
раскрытый,дахъуф
рай,"джаннат (джаннати, -)"
расчесать,"джирхас (джирхай, джирхуна, джирх, джирхуб, маджирха)"
расчесывать,"джирхас (джирхай, джирхуна, джирх, джирхуб, маджирха)"
разновидность,джуьре
разница,джуьревел
ровный,дихьеф
ровно,дихьи
рвать (ся),"дургъас (дургъай, дургъуна, дургъ, дургъуб, мадургъа)"
рванный,дургъуф
развлекаться,"дурхIас (дурхIай, дурхIуна, дурхI, дурхIуб, мадурхIа)"
развлечься,"дурхIас (дурхIай, дурхIуна, дурхI, дурхIуб, мадурхIа)"
развлечение,"дурхIуб (а, ар)"
рассвести,зав курас
рассветать,зав курас
рассвет,зав куруб
решето,"зерфел (и, ар)"
рост,ирхевел
рисунок,ишкил
рисовать,"ишкил йирхIас (- йирхIай, - йирхIуна, - йирхI, - йирхIуб, - мирхIа)"
рассердиться,иъ рутас
рана,"йирхIун (и, ар)"
ранить,йирхIун акьас
раненый,йирхIунар алеф
разбудить,кегъикас
разрушать,ккедихьас
разрушить,ккедихьас
разрушение,ккедихьуб
разгромить,ккедикас
разориться,ккеттархьас
разоряться,ккеттархьас
разрушаться,ккеттархьас
разрушиться,ккеттархьас
ревматизм,ккубул
разбойник,"къачагъ (а, ар)"
разбой,къачагъвел
разбойничество,къачагъвел
разратница,къехIппе
разврат,къехIппевел
раздор,къигI
роза,къизилгуьл
рак,къирхаягъ
роспись,къул
расписаться,къул дивас
расписываться,къул дивас
расписка,кьабза
ручка,кьалам
резолюция,кьарар
решение,кьарар
реванш,кьисас
рок,кьисмат
родник,кьулла
родинка,кIарантIур
рог,кIарч
разбираться (в чем-л),кIил аттивас
разобраться (в чем-л),кIил аттивас
рукоять,"кIучI (ала, ар)"
ручка,"кIучI (ала, ар)"
рубанок,ланда
рычаг,линг
работать,"лиханас (лиханди, лихуна, лихан, лихуб, малихана)"
работник,лиханф
рабочий,лиханф
работа,"лихун (и, ар)"
раствор (строительный),луз
раб,"лукI (у, ар)"
рабство,лукIвел
рубль,манат
расстояние,манзил
робкий,мез адаваф
ржавчина,мехъв
ржаветь,мехъв йирхIас
ржавый,мехъв йирхIуф
рабыня,мидахай
ребро,мугулин тIул
родственники,мукьунттар
река,"нецIв (нецIу, ар)"
раздавать,пай акьас
раздать,пай акьас
распределить,пай акьас
распределять,пай акьас
разделиться,пай хьас
разделяться,пай хьас
ремесло,"пиша (йи, бур)"
ремесленик,пишакар
"расыпчатый (почва, мука...)",пурцIеф
радуга,рагъухъан
расческа,"рагI (у, ар)"
ряд,радж
развратить,рекъуь адихьас
развращать,рекъуь адихьас
резать (скот),"руккас (руккай, руккуна, рукк, руккуб, марукка)"
рыть,"рукIас (рукIай, рукIуна, рукI, рукIуб, марукIа)"
русло,рух
ручей,рух
рот,"сив (и, ар)"
рожь,"суьл (и, -)"
ржаной,суьлинф
расцвел,тук адахъас
расцветать,тук адахъас
ружье,туфанг
род,"тухум (ди, ар)"
родовой,тухумдинф
раздуваться,"тIагIас (тIаргIай, тIагIун, тIагI, тIагIуб, матIаргIа)"
раздуться,"тIагIас (тIаргIай, тIагIун, тIагI, тIагIуб, матIаргIа)"
раздувшийся,тIагIуф
развод,тIалакь
развивающийся,удигь вереф
развиваться,удигь вес
развитый,удигь гьаеф
раньше,удигьди
распространять,ун аттивас
расплавленный,уьцIуф
растаявший,уьцIуф
расточитель,фадархъаф
расточительный,фадархъаф
расточительствовать,"фадахъас (фадархъай, фадахъуна, фадахъ, фадахъуб, фамардахъа)"
расточительство,фадахъуб
ронять,фаттархьас
ров,хандаг
расход,хардж
рожать,хас
рождать (ся),хас
рождение,хеб
родной,хеф
рожденный,хеф
разгневаться,хъел адес
разозлиться,хъел адес
развалины,хъурчар
рогатка,хъуттрихьел
ручеек,хьеттин хул
разводиться,хьир адикас
развод,хьир адикуб
разведенный,хьир адикуф
рукавица,хьухьал
руководство,хIавел
руководитель,хIаф
решение,хIел
решать,хIел акьас
решить,хIел акьас
решаться,хIел хьас
решиться,хIел хьас
ресница,цIипIцIипI
роса,чиг
рыжий,чиреф
речь,"чIал (а, ар)"
рыба,"чIекI (ела, ер)"
рыбий,чIекIеланф
рыбак,чIекIер фарцанф
рыбачить,чIекIер фацанас
ремень,"чIил (и, ар)"
рысь,чIирин гитан
рвать (ся),"чIургъас (чIургъай, чIургъуна, чIургъ, чIургъуб, мачIургъа)"
рванный,чIургъуф
радость,шадвел
радостно,шатти
ребенок,"шиниккв (ди, ар)"
разводиться,шуваккес ккейчIвас
ряженый,Iабкьун
расщелина,"IачI (а, ар)"
разум,"Iекьул (ди, -)"
разумный,"Iекьуллу (йи, бур)"
реветь,Iешас рахвас
рыдать,Iешас рахвас
развилка,"Iучал (и, ар)"
сейчас,агьал
скатиться,"адавес (адавей, адайшуна, адаях, адайшуб, адмева)"
скатываться,"адавес (адавей, адайшуна, адаях, адайшуб, адмева)"
спускаться,"адавес (адавей, адайшуна, адаях, адайшуб, адмева)"
спуститься,"адавес (адавей, адайшуна, адаях, адайшуб, адмева)"
снести (кого-что-л вниз),"ададивас (ададивай, ададивуна, ададив, ададивуб, адмадива)"
сносить (кого-что-л вниз),"ададивас (ададивай, ададивуна, ададив, ададивуб, адмадива)"
спускать,"ададивас (ададивай, ададивуна, ададив, ададивуб, адмадива)"
спустить,"ададивас (ададивай, ададивуна, ададив, ададивуб, адмадива)"
стаскивать (кого-что-л вниз),"ададивас (ададивай, ададивуна, ададив, ададивуб, адмадива)"
стащить (кого-что-л вниз),"ададивас (ададивай, ададивуна, ададив, ададивуб, адмадива)"
стягивать (кого-что-л вниз),"ададивас (ададивай, ададивуна, ададив, ададивуб, адмадива)"
стянуть (кого-что-л вниз),"ададивас (ададивай, ададивуна, ададив, ададивуб, адмадива)"
свобода,азадвел
сделать,"акьас (аркьай, акьуна, акье, акьуб, маркьа)"
спуститься,"алавес (алавей, алайшуна, алаях, алайшуб, алмева)"
сбегать (о жидкости),"алавес (алавей, алайшуна, алаях, алайшуб, алмева)"
сбежать (о жидкости),"алавес (алавей, алайшуна, алаях, алайшуб, алмева)"
спускаться,"алавес (алавей, алайшуна, алаях, алайшуб, алмева)"
стягивать,"аладивас (аладивай, аладивуна, аладив, аладивуб, алмадива)"
стянуть,"аладивас (аладивай, аладивуна, аладив, аладивуб, алмадива)"
сбрасывать,"алайхьас (алайхьай, алайхьуна, алайхь, алайхьуб, аламайхьа)"
сбросить,"алайхьас (алайхьай, алайхьуна, алайхь, алайхьуб, аламайхьа)"
скидывать,"алайхьас (алайхьай, алайхьуна, алайхь, алайхьуб, аламайхьа)"
скинуть,"алайхьас (алайхьай, алайхьуна, алайхь, алайхьуб, аламайхьа)"
слезать,"алайчIвас (алайчIвай, алайчIуна, алайчIв, алайчIуб, аламайчIва)"
слезть,"алайчIвас (алайчIвай, алайчIуна, алайчIв, алайчIуб, аламайчIва)"
сойти,"алайчIвас (алайчIвай, алайчIуна, алайчIв, алайчIуб, аламайчIва)"
сходить,"алайчIвас (алайчIвай, алайчIуна, алайчIв, алайчIуб, аламайчIва)"
спрыгивать,"алайшас (алайшай, алайшина, алайш, алайшиб, аламайша)"
спрыгнуть,"алайшас (алайшай, алайшина, алайш, алайшиб, аламайша)"
"снимать (кожуру, кору и т.д.)","алакьас (алакьай, алакьуна, алакь, алакьуб, алмакьа)"
"снять (кожуру, кору и т.д.)","алакьас (алакьай, алакьуна, алакь, алакьуб, алмакьа)"
сбываться,"аларкьвас (аларкьвай, аларкьуна, -, аларкьуб, -)"
сбыться,"аларкьвас (аларкьвай, аларкьуна, -, аларкьуб, -)"
сорвать,"алдатIас (алдартIай, алдатIуна, алдатI, алдартIуб, алдамартIа)"
срывать,"алдатIас (алдартIай, алдатIуна, алдатI, алдартIуб, алдамартIа)"
"сдирать (кожуру, кору и т.д.)","алдахъас (алдархъай, алдахъуна, алдахъ, алдахъуб, алдамархъа)"
"снимать (кожуру, кору и т.д.)","алдахъас (алдархъай, алдахъуна, алдахъ, алдахъуб, алдамархъа)"
"снять (кожуру, кору и т.д.)","алдахъас (алдархъай, алдахъуна, алдахъ, алдахъуб, алдамархъа)"
"содрать (кожуру, кору и т.д.)","алдахъас (алдархъай, алдахъуна, алдахъ, алдахъуб, алдамархъа)"
садиться (на кого-что-л),"алекьвас (алеркьвай, алекьуна, алекьве, алекьуб, алмеркьва)"
сесть (на кого-что-л),"алекьвас (алеркьвай, алекьуна, алекьве, алекьуб, алмеркьва)"
снимать,"алттивас (алттивай, алттивуна, алттив, алттивуб, алттимива)"
снять,"алттивас (алттивай, алттивуна, алттив, алттивуб, алттимива)"
стараться,"алучIас (алучIай, алучIуна, алучI, алучIуб, алмучIа)"
старание,"алучIуб (а, ар)"
складывать (матем.),"алчихьас (алчихьай, алчихьуна, алчихь, алчихьуб, алчимихьа)"
сложить (матем.),"алчихьас (алчихьай, алчихьуна, алчихь, алчихьуб, алчимихьа)"
сложение,алчихьуб
серебро,"арс (ура, -)"
серебряный,арсуранф
странствовать,"аруцас (аруцай, аруцуна, аруц, аруцуб, маруца)"
спокойствие,архайинвел
спокойный,архайинф
стричь,"архIас (архIай, архIуна, архI, архIуб, мархIа)"
стрижка (процесс),архIуб
сломать (ся),"арчIвас (арчIвай, арчIуна, арчIв, арчIуб, амарчIва)"
стрелять,"атас (артай, атуна, ате, атуб, амарта)"
собеседник,"ахттилатчи (-, бур)"
спуск,ахтткIил
сон,"ахун (и, ар)"
сыпать (ся),"ахъас (архъай, ахъуна, ахъ, ахъуб, амархъа)"
сытость,ацIувел
сытый,ацIуф
сажать (под стражу),"ачикас (ачикай, ачикуна, ачик, ачикуб, мачика)"
столовая,ашхана
сторона,"багв (багу, багвар)"
сбоку,багулихъас
сумасшедший,"багур (а, ар)"
сад,"багъ (ди, ар)"
садовник,"багъдихъан (ди, ар)"
странный,багIвай
странно,багIвайди
сукровица,балхун
спасибо,баркаллагь
счастье,бахтт
